"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"TXRCBUS","198801","1169.925","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198802","1036.19","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198803","863.14","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198804","609.177","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198805","449.797","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198806","322.275","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198807","305.236","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198808","300.467","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198809","310.421","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198810","449.246","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198811","626.228","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198812","915.548","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198813","7357.23","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198901","1049.03","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198902","1011.174","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198903","917.252","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198904","630.569","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198905","452.341","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198906","339.721","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198907","307.033","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198908","315.7","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198909","331.315","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198910","445.027","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198911","650.458","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198912","1122.778","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198913","7571.348","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199001","1019.255","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199002","852.31","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199003","749.883","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199004","571.679","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199005","405.309","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199006","307.164","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199007","272.302","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199008","278.467","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199009","286.253","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199010","385.048","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199011","565.081","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199012","860.825","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","199013","6552.443","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
