"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLRCBUS","199104","1.677","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199105","1.374","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199106","1.338","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199107","1.775","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199108","1.606","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199109","1.329","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199110","1.47","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199111","2.818","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199112","3.612","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199113","25.355","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199201","3.056","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199202","2.421","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199203","2.187","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199204","2.213","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199205","1.335","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199206","1.23","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199207","1.973","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199208","1.636","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199209","1.532","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199210","1.528","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199211","2.67","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199212","3.808","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199213","25.589","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199301","2.738","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199302","2.655","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199303","2.126","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199304","2.539","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199305","1.336","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199306","1.731","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199307","1.756","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199308","1.58","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199309","1.193","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199310","1.599","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199311","2.686","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199312","3.81","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199313","25.749","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199401","2.96","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199402","2.32","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199403","1.708","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199404","1.577","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199405","1.159","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199406","1.38","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199407","1.58","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199408","1.358","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199409","0.998","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199410","1.17","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199411","1.874","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199412","2.759","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199413","20.845","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199501","1.915","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199502","1.721","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199503","1.288","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199504","1.349","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199505","0.874","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199506","0.878","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199507","0.517","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199508","1.109","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199509","1.568","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199510","1.013","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199511","2.146","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199512","3.074","1","Coal Consumed by the Residential Sector","Trillion Btu"
